Wavelength (nm),Counts
335.61,1429.0
335.959910675,1414.0
336.3098827,1409.0
336.659916075,1409.0
337.01001080000003,1404.0
337.360166875,1396.0
337.7103843,1391.0
338.06066307500004,1378.0
338.41100320000004,1369.0
338.761404675,1371.0
339.1118675,1366.0
339.462391675,1367.0
339.81297720000003,1376.0
340.16362407500003,-15.0
340.51433230000004,-14.0
340.865101875,-20.0
341.2159328,-16.0
341.566825075,-13.0
341.91777870000004,-10.0
342.26879367500004,0.0
342.61987,-5.0
342.971007675,-15.0
343.32220670000004,-9.0
343.673467075,-5.0
344.0247888,3.0
344.376171875,10.0
344.7276163,0.0
345.079122075,-5.0
345.4306892,-4.0
345.782317675,4.0
346.1340075,10.0
346.485758675,15.0
346.8375712,5.0
347.18944507500004,-1.0
347.5413803,-5.0
347.893376875,0.0
348.2454348,3.0
348.597554075,11.0
348.9497347,-6.0
349.301976675,-1.0
349.65428,0.0
350.006644675,7.0
350.3590707,7.0
350.711558075,5.0
351.0641068,-3.0
351.416716875,-8.0
351.7693883,-6.0
352.122121075,-4.0
352.4749152,9.0
352.827770675,16.0
353.18068750000003,15.0
353.533665675,10.0
353.8867052,16.0
354.239806075,9.0
354.5929683,-6.0
354.946191875,9.0
355.29947680000004,26.0
355.652823075,30.0
356.0062307,26.0
356.359699675,10.0
356.71323,9.0
357.066821675,6.0
357.4204747,4.0
357.77418907500004,-3.0
358.12796480000003,-2.0
358.48180187500003,-10.0
358.83570030000004,-10.0
359.189660075,-12.0
359.54368120000004,-8.0
359.897763675,-5.0
360.2519075,3.0
360.606112675,13.0
360.96037920000003,26.0
361.314707075,20.0
361.66909630000004,23.0
362.023546875,23.0
362.3780588,14.0
362.732632075,-3.0
363.08726670000004,-13.0
363.441962675,-10.0
363.79672,-17.0
364.15153867500004,-18.0
364.50641870000004,-11.0
364.861360075,-13.0
365.2163628,-12.0
365.57142687500004,4.0
365.9265523,0.0
366.281739075,4.0
366.6369872,-9.0
366.99229667500003,-16.0
367.3476675,-15.0
367.70309967500003,-22.0
368.0585932,-29.0
368.414148075,-30.0
368.7697643,-27.0
369.12544187500004,-37.0
369.4811808,-32.0
369.83698107500004,-31.0
370.1928427,-23.0
370.548765675,-12.0
370.90475000000004,9.0
371.260795675,12.0
371.6169027,6.0
371.973071075,-6.0
372.3293008,-16.0
372.685591875,-19.0
373.0419443,-21.0
373.39835807500003,-22.0
373.7548332,-20.0
374.111369675,-18.0
374.4679675,-2.0
374.824626675,1.0
375.1813472,8.0
375.53812907500003,4.0
375.8949723,4.0
376.251876875,5.0
376.60884280000005,7.0
376.965870075,9.0
377.3229587,9.0
377.68010867500004,7.0
378.03732,7.0
378.394592675,7.0
378.7519267,8.0
379.109322075,0.0
379.46677880000004,-11.0
379.824296875,-17.0
380.1818763,-7.0
380.53951707500005,-6.0
380.8972192,-3.0
381.254982675,-12.0
381.61280750000003,-15.0
381.970693675,-5.0
382.3286412,-8.0
382.686650075,-7.0
383.0447203,-8.0
383.402851875,-17.0
383.76104480000004,-12.0
384.119299075,-22.0
384.4776147,-17.0
384.835991675,-18.0
385.19443,-18.0
385.55292967500003,-10.0
385.9114907,-5.0
386.27011307500004,0.0
386.62879680000003,1.0
386.98754187500003,-2.0
387.34634830000005,-17.0
387.705216075,-27.0
388.0641452,-19.0
388.423135675,-13.0
388.7821875,-11.0
389.141300675,0.0
389.50047520000004,-4.0
389.859711075,10.0
390.21900830000004,15.0
390.57836687500003,15.0
390.9377868,11.0
391.29726807500003,8.0
391.6568107,22.0
392.016414675,28.0
392.37608,15.0
392.735806675,12.0
393.0955947,2.0
393.455444075,-17.0
393.8153548,-19.0
394.175326875,-23.0
394.53536030000004,-30.0
394.89545507500003,-40.0
