Wavelength (nm),Counts
337.41,920.0
337.9241973,930.0
338.43828920000004,932.0
338.95227570000003,978.0
339.4661568,927.0
339.9799325,957.0
340.4936028,914.0
341.0071677,927.0
341.52062720000004,934.0
342.03398130000005,941.0
342.54723,922.0
343.06037330000004,946.0
343.5734112,932.0
344.08634370000004,65.0
344.5991708,-7.0
345.1118925,80.0
345.6245088,22.0
346.1370197,6.0
346.6494252,57.0
347.1617253,37.0
347.67392,38.0
348.1860093,53.0
348.69799320000004,61.0
349.2098717,43.0
349.72164480000004,59.0
350.2333125,59.0
350.74487480000005,56.0
351.25633170000003,60.0
351.7676832,21.0
352.2789293,79.0
352.79007,77.0
353.3011053,67.0
353.8120352,33.0
354.32285970000004,6.0
354.83357880000005,-7.0
355.3441925,70.0
355.85470080000005,27.0
356.3651037,68.0
356.8754012,99.0
357.38559330000004,93.0
357.89568,113.0
358.4056613,45.0
358.9155372,67.0
359.4253077,79.0
359.9349728,35.0
360.44453250000004,27.0
360.95398680000005,11.0
361.4633357,-15.0
361.97257920000004,33.0
362.4817173,59.0
362.99075000000005,11.0
363.49967730000003,78.0
364.0084992,37.0
364.5172157,37.0
365.0258268,46.0
365.5343325,25.0
366.0427328,-13.0
366.5510277,14.0
367.05921720000003,-7.0
367.56730130000005,17.0
368.07528,22.0
368.58315330000005,43.0
369.0909212,63.0
369.5985837,65.0
370.10614080000005,45.0
370.61359250000004,16.0
371.12093880000003,67.0
371.62817970000003,31.0
372.13531520000004,58.0
372.64234530000004,57.0
373.14927,62.0
373.6560893,67.0
374.16280320000004,15.0
374.6694117,13.0
375.17591480000004,57.0
375.6823125,35.0
376.1886048,52.0
376.6947917,67.0
377.20087320000005,68.0
377.70684930000004,91.0
378.21272000000005,100.0
378.7184853,91.0
379.2241452,82.0
379.7296997,61.0
380.23514880000005,68.0
380.7404925,75.0
381.24573080000005,125.0
381.7508637,84.0
382.2558912,73.0
382.7608133,28.0
383.26563000000004,29.0
383.77034130000004,60.0
384.27494720000004,46.0
384.7794477,93.0
385.2838428,68.0
385.7881325,29.0
386.29231680000004,20.0
386.7963957,62.0
387.30036920000003,85.0
387.8042373,70.0
388.308,59.0
388.81165730000004,64.0
389.3152092,76.0
389.8186557,75.0
390.3219968,86.0
390.8252325,51.0
391.32836280000004,68.0
391.83138770000005,49.0
392.3343072,60.0
392.83712130000004,44.0
393.33983,49.0
393.84243330000004,28.0
394.3449312,73.0
394.8473237,51.0
395.34961080000005,28.0
395.85179250000004,29.0
396.35386880000004,64.0
396.85583970000005,6.0
397.35770520000005,6.0
397.8594653,3.0
398.36112,31.0
398.8626693,30.0
399.3641132,43.0
399.8654517,51.0
400.36668480000003,70.0
400.8678125,20.0
401.36883480000006,57.0
401.86975170000005,89.0
402.3705632,73.0
402.8712693,99.0
403.37187,53.0
403.8723653,85.0
404.37275520000003,59.0
404.87303970000005,65.0
405.3732188,101.0
405.87329250000005,95.0
406.3732608,102.0
406.8731237,25.0
407.37288120000005,64.0
407.87253330000004,65.0
408.37208000000004,57.0
408.87152130000004,49.0
409.37085720000005,45.0
409.8700877,32.0
410.3692128,83.0
410.86823250000003,85.0
411.3671468,52.0
411.86595570000003,73.0
412.3646592,52.0
412.86325730000004,45.0
413.36175000000003,49.0
413.8601373,67.0
414.3584192,79.0
414.8565957,49.0
415.3546668,37.0
415.8526325,-1.0
416.35049280000004,4.0
416.8482477,45.0
417.3458972,76.0
417.8434413,68.0
418.34088,68.0
418.8382133,54.0
419.3354412,61.0
419.83256370000004,93.0
420.32958080000003,91.0
420.82649250000003,83.0
421.32329880000003,59.0
421.81999970000004,51.0
422.31659520000005,46.0
422.8130853,55.0
423.30947000000003,62.0
423.8057493,60.0
424.30192320000003,22.0
424.7979917,43.0
425.29395480000005,41.0
425.78981250000004,30.0
426.28556480000003,60.0
426.78121170000003,38.0
427.27675320000003,15.0
427.77218930000004,38.0
428.26752,6.0
428.7627453,45.0
429.2578652,125.0
429.7528797,70.0
430.2477888,81.0
430.7425925,86.0
431.23729080000004,69.0
431.7318837,-29.0
432.2263712,60.0
432.7207533,6.0
433.21503,17.0
433.7092013,43.0
434.2032672,46.0
434.6972277,89.0
435.1910828,94.0
435.6848325,99.0
436.1784768,63.0
436.67201570000003,30.0
437.1654492,59.0
437.6587773,46.0
438.15200000000004,38.0
438.64511730000004,41.0
