Wavelength (nm),Counts
860.11,135.0
861.73291925,19.0
863.356464,0.0
864.98063425,70.0
866.6054300000001,148.0
868.23085125,119.0
869.856898,217.0
871.48357025,473.0
873.110868,730.0
874.73879125,952.0
876.36734,1183.0
877.99651425,1509.0
879.626314,1914.0
881.25673925,2113.0
882.88779,1946.0
884.51946625,1478.0
886.1517680000001,1006.0
887.78469525,843.0
889.4182480000001,1058.0
891.05242625,1372.0
892.68723,1566.0
894.32265925,1576.0
895.958714,1484.0
897.59539425,1481.0
899.2327,1610.0
900.87063125,1699.0
902.509188,1788.0
904.14837025,1944.0
905.788178,2262.0
907.42861125,2664.0
909.06967,2974.0
910.71135425,3136.0
912.353664,3125.0
913.99659925,2958.0
915.64016,2697.0
917.28434625,2451.0
918.929158,2200.0
920.57459525,1828.0
922.220658,1320.0
923.86734625,900.0
925.51466,667.0
927.16259925,731.0
928.811164,1066.0
930.46035425,1327.0
932.11017,1339.0
933.76061125,1384.0
935.411678,1584.0
937.06337025,1767.0
938.715688,1804.0
940.36863125,1864.0
942.0222,2039.0
943.67639425,2212.0
945.331214,2290.0
946.98665925,2462.0
948.64273,2821.0
950.29942625,3077.0
951.9567480000001,3000.0
953.6146952500001,2748.0
955.273268,2583.0
956.9324662500001,2454.0
958.59229,2279.0
960.25273925,1992.0
961.913814,1617.0
963.57551425,1459.0
965.23784,1655.0
966.90079125,1899.0
968.5643680000001,1974.0
970.2285702500001,1878.0
971.893398,1536.0
973.55885125,1304.0
975.2249300000001,1386.0
976.89163425,1686.0
978.5589640000001,1997.0
980.22691925,2077.0
981.8955000000001,1852.0
983.56470625,1613.0
985.234538,1480.0
986.90499525,1246.0
988.576078,944.0
990.24778625,853.0
991.92012,1048.0
993.5930792500001,1323.0
995.266664,1622.0
996.94087425,1825.0
998.61571,1787.0
1000.29117125,1692.0
1001.967258,1689.0
1003.64397025,1747.0
1005.321308,1825.0
1006.99927125,2014.0
1008.67786,2362.0
1010.35707425,2566.0
1012.036914,2422.0
1013.71737925,2124.0
1015.3984700000001,1956.0
1017.08018625,1888.0
1018.762528,1787.0
1020.44549525,1721.0
1022.129088,1749.0
1023.81330625,1944.0
1025.49815,2239.0
1027.18361925,2352.0
1028.869714,2159.0
1030.55643425,1965.0
1032.24378,1886.0
1033.93175125,1842.0
1035.620348,1898.0
1037.30957025,1972.0
1038.999418,2060.0
1040.68989125,2135.0
1042.38099,2292.0
1044.07271425,2452.0
1045.765064,2360.0
1047.45803925,2260.0
1049.15164,2348.0
1050.84586625,2392.0
1052.540718,2193.0
1054.23619525,2028.0
1055.932298,2078.0
1057.6290262500002,2255.0
1059.32638,2381.0
1061.02435925,2587.0
1062.722964,2955.0
1064.42219425,3261.0
1066.12205,3385.0
1067.82253125,3279.0
1069.5236380000001,2959.0
1071.22537025,2524.0
1072.9277280000001,1926.0
1074.63071125,1513.0
1076.33432,1510.0
1078.03855425,1650.0
1079.743414,1523.0
1081.44889925,1321.0
1083.15501,1358.0
1084.8617462500001,1508.0
1086.5691080000001,1629.0
1088.27709525,1868.0
1089.985708,2276.0
1091.69494625,2541.0
1093.40481,2418.0
1095.1152992500001,2183.0
1096.826414,2125.0
1098.53815425,2279.0
1100.25052,2483.0
1101.96351125,2779.0
1103.677128,3200.0
1105.39137025,3484.0
1107.106238,3429.0
1108.82173125,3436.0
1110.53785,3768.0
1112.25459425,4096.0
1113.971964,4081.0
