Wavelength (nm),Counts
860.11,0.0
861.73291925,0.0
863.356464,0.0
864.98063425,0.0
866.6054300000001,14.0
868.23085125,0.0
869.856898,67.0
871.48357025,289.0
873.110868,495.0
874.73879125,640.0
876.36734,784.0
877.99651425,958.0
879.626314,1092.0
881.25673925,1120.0
882.88779,1076.0
884.51946625,1124.0
886.1517680000001,1223.0
887.78469525,1271.0
889.4182480000001,1302.0
891.05242625,1361.0
892.68723,1384.0
894.32265925,1355.0
895.958714,1337.0
897.59539425,1369.0
899.2327,1372.0
900.87063125,1368.0
902.509188,1416.0
904.14837025,1504.0
905.788178,1557.0
907.42861125,1545.0
909.06967,1546.0
910.71135425,1550.0
912.353664,1501.0
913.99659925,1419.0
915.64016,1382.0
917.28434625,1414.0
918.929158,1440.0
920.57459525,1396.0
922.220658,1330.0
923.86734625,1345.0
925.51466,1387.0
927.16259925,1391.0
928.811164,1432.0
930.46035425,1468.0
932.11017,1433.0
933.76061125,1394.0
935.411678,1432.0
937.06337025,1473.0
938.715688,1456.0
940.36863125,1429.0
942.0222,1454.0
943.67639425,1514.0
945.331214,1515.0
946.98665925,1494.0
948.64273,1507.0
950.29942625,1552.0
951.9567480000001,1526.0
953.6146952500001,1475.0
955.273268,1467.0
956.9324662500001,1481.0
958.59229,1442.0
960.25273925,1398.0
961.913814,1407.0
963.57551425,1469.0
965.23784,1505.0
966.90079125,1484.0
968.5643680000001,1451.0
970.2285702500001,1466.0
971.893398,1478.0
973.55885125,1450.0
975.2249300000001,1444.0
976.89163425,1491.0
978.5589640000001,1518.0
980.22691925,1494.0
981.8955000000001,1477.0
983.56470625,1494.0
985.234538,1480.0
986.90499525,1426.0
988.576078,1399.0
990.24778625,1435.0
991.92012,1462.0
993.5930792500001,1451.0
995.266664,1497.0
996.94087425,1531.0
998.61571,1473.0
1000.29117125,1402.0
1001.967258,1370.0
1003.64397025,1416.0
1005.321308,1445.0
1006.99927125,1448.0
1008.67786,1445.0
1010.35707425,1487.0
1012.036914,1497.0
1013.71737925,1467.0
1015.3984700000001,1460.0
1017.08018625,1488.0
1018.762528,1462.0
1020.44549525,1418.0
1022.129088,1418.0
1023.81330625,1480.0
1025.49815,1527.0
1027.18361925,1508.0
1028.869714,1465.0
1030.55643425,1477.0
1032.24378,1478.0
1033.93175125,1441.0
1035.620348,1404.0
1037.30957025,1454.0
1038.999418,1523.0
1040.68989125,1527.0
1042.38099,1501.0
1044.07271425,1512.0
1045.765064,1509.0
1047.45803925,1494.0
1049.15164,1511.0
1050.84586625,1524.0
1052.540718,1446.0
1054.23619525,1394.0
1055.932298,1440.0
1057.6290262500002,1512.0
1059.32638,1541.0
1061.02435925,1544.0
1062.722964,1578.0
1064.42219425,1610.0
1066.12205,1567.0
1067.82253125,1489.0
1069.5236380000001,1468.0
1071.22537025,1497.0
1072.9277280000001,1505.0
1074.63071125,1485.0
1076.33432,1505.0
1078.03855425,1528.0
1079.743414,1467.0
1081.44889925,1417.0
1083.15501,1442.0
1084.8617462500001,1493.0
1086.5691080000001,1486.0
1088.27709525,1496.0
1089.985708,1575.0
1091.69494625,1631.0
1093.40481,1564.0
1095.1152992500001,1490.0
1096.826414,1499.0
1098.53815425,1539.0
1100.25052,1526.0
