Wavelength (nm),Counts
860.11,69.0
861.73291925,0.0
863.356464,0.0
864.98063425,0.0
866.6054300000001,61.0
868.23085125,0.0
869.856898,0.0
871.48357025,0.0
873.110868,282.0
874.73879125,1104.0
876.36734,2221.0
877.99651425,3579.0
879.626314,4862.0
881.25673925,6064.0
882.88779,7206.0
884.51946625,8037.0
886.1517680000001,8500.0
887.78469525,9016.0
889.4182480000001,9815.0
891.05242625,10953.0
892.68723,12254.0
894.32265925,13628.0
895.958714,14963.0
897.59539425,16177.0
899.2327,17272.0
900.87063125,18386.0
902.509188,19681.0
904.14837025,21183.0
905.788178,22613.0
907.42861125,23851.0
909.06967,24889.0
910.71135425,25769.0
912.353664,26667.0
913.99659925,27758.0
915.64016,28900.0
917.28434625,29742.0
918.929158,29879.0
920.57459525,29673.0
922.220658,29237.0
923.86734625,28591.0
925.51466,27960.0
927.16259925,27615.0
928.811164,27890.0
930.46035425,28582.0
932.11017,28987.0
933.76061125,29411.0
935.411678,30112.0
937.06337025,31096.0
938.715688,32106.0
940.36863125,32594.0
942.0222,33037.0
943.67639425,35977.0
945.331214,37085.0
946.98665925,37905.0
948.64273,38746.0
950.29942625,39828.0
951.9567480000001,40808.0
953.6146952500001,41282.0
955.273268,41173.0
956.9324662500001,40686.0
958.59229,40349.0
960.25273925,39947.0
961.913814,39223.0
963.57551425,38479.0
965.23784,38143.0
966.90079125,38323.0
968.5643680000001,38975.0
970.2285702500001,39901.0
971.893398,40508.0
973.55885125,40861.0
975.2249300000001,41421.0
976.89163425,42268.0
978.5589640000001,43397.0
980.22691925,44771.0
981.8955000000001,45981.0
983.56470625,46585.0
985.234538,46548.0
986.90499525,46055.0
988.576078,45227.0
990.24778625,44119.0
991.92012,42709.0
993.5930792500001,41315.0
995.266664,40362.0
996.94087425,40070.0
998.61571,39973.0
1000.29117125,39651.0
1001.967258,38946.0
1003.64397025,38126.0
1005.321308,37698.0
1006.99927125,37790.0
1008.67786,38352.0
1010.35707425,39231.0
1012.036914,39927.0
1013.71737925,40044.0
1015.3984700000001,39566.0
1017.08018625,38835.0
1018.762528,38030.0
1020.44549525,37113.0
1022.129088,37082.0
1023.81330625,35499.0
1025.49815,33904.0
1027.18361925,32868.0
1028.869714,31300.0
1030.55643425,28258.0
1032.24378,26683.0
1033.93175125,25269.0
1035.620348,23949.0
1037.30957025,22898.0
1038.999418,22379.0
1040.68989125,22443.0
1042.38099,22954.0
1044.07271425,23872.0
1045.765064,25192.0
1047.45803925,25899.0
1049.15164,26162.0
1050.84586625,26257.0
1052.540718,26116.0
1054.23619525,26000.0
1055.932298,26161.0
1057.6290262500002,26936.0
1059.32638,28170.0
1061.02435925,29524.0
1062.722964,30861.0
1064.42219425,32090.0
1066.12205,32627.0
1067.82253125,33673.0
1069.5236380000001,36460.0
1071.22537025,38028.0
1072.9277280000001,39457.0
1074.63071125,40705.0
1076.33432,41917.0
1078.03855425,43125.0
1079.743414,44023.0
1081.44889925,44452.0
1083.15501,45001.0
1084.8617462500001,45459.0
1086.5691080000001,45495.0
1088.27709525,45203.0
1089.985708,45191.0
1091.69494625,45344.0
1093.40481,45315.0
1095.1152992500001,44970.0
1096.826414,44570.0
1098.53815425,44242.0
1100.25052,44029.0
1101.96351125,43938.0
1103.677128,44000.0
1105.39137025,44333.0
1107.106238,44503.0
1108.82173125,44608.0
1110.53785,45043.0
1112.25459425,45801.0
1113.971964,46402.0
1115.6899592500001,46472.0
1117.40858,46041.0
1119.12782625,45299.0
1120.847698,44378.0
1122.56819525,43259.0
1124.289318,41934.0
1126.01106625,40421.0
1127.73344,38948.0
1129.4564392500001,37690.0
1131.1800640000001,37192.0
1132.90431425,35515.0
1134.62919,34525.0
1136.35469125,34079.0
1138.080818,34317.0
1139.80757025,34928.0
1141.534948,35907.0
1143.26295125,37122.0
1144.99158,38330.0
1146.72083425,39537.0
1148.450714,40762.0
1150.1812192500001,41912.0
