Wavelength (nm),Counts
337.41,938.0
337.9241973,890.0
338.43828920000004,950.0
338.95227570000003,908.0
339.4661568,883.0
339.9799325,899.0
340.4936028,903.0
341.0071677,900.0
341.52062720000004,911.0
342.03398130000005,841.0
342.54723,875.0
343.06037330000004,870.0
343.5734112,850.0
344.08634370000004,9.560546875
344.5991708,29.560546875
345.1118925,33.560546875
345.6245088,22.560546875
346.1370197,16.560546875
346.6494252,27.560546875
347.1617253,9.560546875
347.67392,36.560546875
348.1860093,38.560546875
348.69799320000004,59.560546875
349.2098717,73.560546875
349.72164480000004,45.560546875
350.2333125,72.560546875
350.74487480000005,15.560546875
351.25633170000003,39.560546875
351.7676832,29.560546875
352.2789293,51.560546875
352.79007,59.560546875
353.3011053,33.560546875
353.8120352,30.560546875
354.32285970000004,15.560546875
354.83357880000005,33.560546875
355.3441925,54.560546875
355.85470080000005,61.560546875
356.3651037,99.560546875
356.8754012,93.560546875
357.38559330000004,118.560546875
357.89568,127.560546875
358.4056613,89.560546875
358.9155372,77.560546875
359.4253077,85.560546875
359.9349728,54.560546875
360.44453250000004,53.560546875
360.95398680000005,4.560546875
361.4633357,46.560546875
361.97257920000004,41.560546875
362.4817173,29.560546875
362.99075000000005,49.560546875
363.49967730000003,-2.439453125
364.0084992,30.560546875
364.5172157,17.560546875
365.0258268,52.560546875
365.5343325,57.560546875
366.0427328,19.560546875
366.5510277,44.560546875
367.05921720000003,12.560546875
367.56730130000005,20.560546875
368.07528,61.560546875
368.58315330000005,19.560546875
369.0909212,35.560546875
369.5985837,59.560546875
370.10614080000005,65.560546875
370.61359250000004,42.560546875
371.12093880000003,29.560546875
371.62817970000003,64.560546875
372.13531520000004,59.560546875
372.64234530000004,27.560546875
373.14927,14.560546875
373.6560893,49.560546875
374.16280320000004,75.560546875
374.6694117,49.560546875
375.17591480000004,89.560546875
375.6823125,97.560546875
376.1886048,85.560546875
376.6947917,65.560546875
377.20087320000005,49.560546875
377.70684930000004,17.560546875
378.21272000000005,29.560546875
378.7184853,21.560546875
379.2241452,3.560546875
379.7296997,11.560546875
380.23514880000005,47.560546875
380.7404925,54.560546875
381.24573080000005,43.560546875
381.7508637,29.560546875
382.2558912,-9.439453125
382.7608133,27.560546875
383.26563000000004,11.560546875
383.77034130000004,33.560546875
384.27494720000004,-10.439453125
384.7794477,30.560546875
385.2838428,51.560546875
385.7881325,-0.439453125
386.29231680000004,-36.439453125
386.7963957,1.560546875
387.30036920000003,17.560546875
387.8042373,-6.439453125
388.308,52.560546875
388.81165730000004,51.560546875
389.3152092,29.560546875
389.8186557,27.560546875
390.3219968,37.560546875
390.8252325,42.560546875
391.32836280000004,70.560546875
391.83138770000005,91.560546875
392.3343072,75.560546875
392.83712130000004,52.560546875
393.33983,61.560546875
393.84243330000004,80.560546875
394.3449312,48.560546875
394.8473237,102.560546875
395.34961080000005,32.560546875
395.85179250000004,61.560546875
396.35386880000004,75.560546875
396.85583970000005,34.560546875
397.35770520000005,57.560546875
397.8594653,96.560546875
398.36112,70.560546875
398.8626693,59.560546875
399.3641132,78.560546875
399.8654517,107.560546875
400.36668480000003,86.560546875
400.8678125,76.560546875
401.36883480000006,60.560546875
401.86975170000005,68.560546875
402.3705632,41.560546875
402.8712693,53.560546875
403.37187,27.560546875
403.8723653,9.560546875
404.37275520000003,-25.439453125
404.87303970000005,12.560546875
405.3732188,-16.439453125
405.87329250000005,17.560546875
406.3732608,1.560546875
406.8731237,5.560546875
407.37288120000005,27.560546875
407.87253330000004,9.560546875
408.37208000000004,34.560546875
408.87152130000004,39.560546875
409.37085720000005,66.560546875
409.8700877,70.560546875
410.3692128,51.560546875
410.86823250000003,22.560546875
411.3671468,29.560546875
411.86595570000003,21.560546875
412.3646592,22.560546875
412.86325730000004,43.560546875
413.36175000000003,29.560546875
413.8601373,9.560546875
414.3584192,34.560546875
414.8565957,47.560546875
415.3546668,70.560546875
415.8526325,36.560546875
416.35049280000004,29.560546875
416.8482477,13.560546875
417.3458972,33.560546875
417.8434413,15.560546875
418.34088,15.560546875
418.8382133,-23.439453125
419.3354412,20.560546875
419.83256370000004,30.560546875
420.32958080000003,27.560546875
420.82649250000003,16.560546875
421.32329880000003,27.560546875
421.81999970000004,53.560546875
422.31659520000005,40.560546875
422.8130853,77.560546875
423.30947000000003,59.560546875
